PERMNO,date,RET
1,2008-02-29,-0.009153
1,2008-03-31,0.047725
1,2008-04-30,-0.032857
1,2008-05-31,-0.027348
1,2008-06-30,-0.085575
1,2008-07-31,-0.009234
1,2008-08-31,0.011068
1,2008-09-30,0.022854
1,2008-10-31,-0.166793
1,2008-11-30,0.072401
1,2008-12-31,-0.034137
1,2009-01-31,-0.056329
1,2009-02-28,-0.043773
1,2009-03-31,0.085924
1,2009-04-30,-0.020478
1,2009-05-31,0.141928
1,2009-06-30,-0.01546
1,2009-07-31,0.03855
1,2009-08-31,-0.021469
1,2009-09-30,0.109494
1,2009-10-31,-0.007263
1,2009-11-30,0.08066
1,2009-12-31,-0.003497
1,2010-01-31,-0.048246
1,2010-02-28,-0.028203
1,2010-03-31,0.051593
1,2010-04-30,-0.028182
1,2010-05-31,-0.038354
1,2010-06-30,-0.016342
1,2010-07-31,0.099561
1,2010-08-31,0.014017
1,2010-09-30,0.055071
1,2010-10-31,0.047847
1,2010-11-30,0.037345
1,2010-12-31,0.041159
1,2011-01-31,-0.044397
1,2011-02-28,0.017025
1,2011-03-31,0.045213
1,2011-04-30,0.016883
1,2011-05-31,-0.009635
1,2011-06-30,0.014219
1,2011-07-31,0.0107
1,2011-08-31,0.035877
1,2011-09-30,-0.034351
1,2011-10-31,0.011249
1,2011-11-30,-0.009075
1,2011-12-31,0.040756
1,2012-01-31,-0.034872
1,2012-02-29,0.034503
1,2012-03-31,0.066705
1,2012-04-30,0.031212
1,2012-05-31,-0.020833
1,2012-06-30,0.053125
1,2012-07-31,0.03338
1,2012-08-31,-0.074257
1,2012-09-30,0.020989
1,2012-10-31,-0.019773
1,2012-11-30,0.026762
1,2012-12-31,-0.04404
1,2013-01-31,0.02731
1,2013-02-28,0.039742
1,2013-03-31,0.051653
1,2013-04-30,0.046736
1,2013-05-31,-0.05528
1,2013-06-30,0.010002
1,2013-07-31,-0.000748
1,2013-08-31,-0.047405
1,2013-09-30,-0.000524
1,2013-10-31,0.044615
1,2013-11-30,0.022744
1,2013-12-31,0.027868
1,2014-01-31,-0.084483
1,2014-02-28,0.010048
1,2014-03-31,0.020026
1,2014-04-30,0.055096
1,2014-05-31,0.002942
1,2014-06-30,0.042899
1,2014-07-31,-0.072474
1,2014-08-31,0.061848
1,2014-09-30,0.029842
1,2014-10-31,-0.018284
1,2014-11-30,0.077722
1,2014-12-31,-0.05822
1,2015-01-31,-0.02487
1,2015-02-28,0.051737
1,2015-03-31,-0.055889
1,2015-04-30,0.000247
1,2015-05-31,0.009862
1,2015-06-30,-0.03418
1,2015-07-31,0.047158
1,2015-08-31,-0.042843
1,2015-09-30,0.028739
1,2015-10-31,0.055583
1,2015-11-30,0.014168
1,2015-12-31,0.007977
1,2016-01-31,-0.000931
1,2016-02-29,0.004893
1,2016-03-31,0.0837
1,2016-04-30,-0.034275
1,2016-05-31,-0.004464
1,2016-06-30,0.024215
1,2016-07-31,-0.037503
1,2016-08-31,-0.004584
1,2016-09-30,-0.017499
1,2016-10-31,0.00189
1,2016-11-30,-0.040094
1,2016-12-31,0.027509
1,2017-01-31,0.002653
1,2017-02-28,0.009382
1,2017-03-31,0.020257
1,2017-04-30,0.01673
1,2017-05-31,0.053766
1,2017-06-30,-0.005498
1,2017-07-31,0.022074
1,2017-08-31,-0.006326
1,2017-09-30,-0.003732
1,2017-10-31,0.021551
1,2017-11-30,0.00348
1,2017-12-31,0.002403
1,2018-01-31,0.037271
1,2018-02-28,-0.091826
1,2018-03-31,0.013882
1,2018-04-30,-0.005066
1,2018-05-31,-0.00486
1,2018-06-30,0.02907
1,2018-07-31,0.063156
1,2018-08-31,-0.044178
1,2018-09-30,0.045098
1,2018-10-31,0.036588
1,2018-11-30,0.060777
1,2018-12-31,-0.060516
1,2019-01-31,0.016473
1,2019-02-28,-0.057968
1,2019-03-31,0.042347
1,2019-04-30,0.046948
1,2019-05-31,0.001427
1,2019-06-30,0.044576
1,2019-07-31,0.033582
1,2019-08-31,0.045791
1,2019-09-30,-0.003634
1,2019-10-31,-0.000184
1,2019-11-30,-0.011574
1,2019-12-31,0.036517
1,2020-01-31,0.055104
1,2020-02-29,-0.084075
1,2020-03-31,-0.165078
1,2020-04-30,0.037062
1,2020-05-31,0.017215
1,2020-06-30,-0.034062
1,2020-07-31,0.057296
1,2020-08-31,0.048476
1,2020-09-30,0.005047
1,2020-10-31,-0.026534
1,2020-11-30,0.082189
1,2020-12-31,0.062791
1,2021-01-31,-0.121991
1,2021-02-28,0.017445
1,2021-03-31,0.084507
1,2021-04-30,0.024094
1,2021-05-31,0.024268
1,2021-06-30,-0.013746
1,2021-07-31,0.053964
1,2021-08-31,-0.012625
1,2021-09-30,-0.060735
1,2021-10-31,0.074328
1,2021-11-30,-0.06209
1,2021-12-31,0.128885
2,1991-12-31,-0.060976
2,1992-01-31,0.121212
2,1992-02-29,0.170656
2,1992-03-31,-0.023333
2,1992-04-30,0.133106
2,1992-05-31,-0.039157
2,1992-06-30,0.11348
2,1992-07-31,-0.053977
2,1992-08-31,-0.158559
2,1992-09-30,-0.072202
2,1992-10-31,-0.042802
2,1992-11-30,0.055285
2,1992-12-31,0.0
2,1993-01-31,0.170543
2,1993-02-28,-0.007947
2,1993-03-31,0.010067
2,1993-04-30,0.086379
2,1993-05-31,-0.013456
2,1993-06-30,0.109034
2,1993-07-31,0.089888
2,1993-08-31,-0.029381
2,1993-09-30,-0.109333
2,1993-10-31,0.140719
2,1993-11-30,0.111811
2,1993-12-31,0.040284
2,1994-01-31,0.116173
2,1994-02-28,-0.045714
2,1994-03-31,-0.075107
2,1994-04-30,0.053364
2,1994-05-31,-0.049339
2,1994-06-30,-0.065116
2,1994-07-31,0.022388
2,1994-08-31,-0.018005
2,1994-09-30,-0.067164
2,1994-10-31,-0.157333
2,1994-11-30,-0.029747
2,1994-12-31,0.104918
2,1995-01-31,-0.077151
2,1995-02-28,0.101608
2,1995-03-31,0.032258
2,1995-04-30,0.025568
2,1995-05-31,0.07036
2,1995-06-30,-0.023438
2,1995-07-31,0.04
2,1995-08-31,-0.027179
2,1995-09-30,-0.005305
2,1995-10-31,-0.066667
2,1995-11-30,0.115429
2,1995-12-31,0.090206
2,1996-01-31,-0.004728
2,1996-02-29,-0.018527
2,1996-03-31,0.039024
2,1996-04-30,0.018779
2,1996-05-31,0.023502
2,1996-06-30,-0.049887
2,1996-07-31,-0.069212
2,1996-08-31,0.026154
2,1996-09-30,-0.032746
2,1996-10-31,0.117188
2,1996-11-30,0.082051
2,1996-12-31,-0.032538
2,1997-01-31,0.058296
2,1997-02-28,-0.010593
2,1997-03-31,-0.043197
2,1997-04-30,0.045147
2,1997-05-31,0.0
2,1997-06-30,-0.028322
2,1997-07-31,0.109865
2,1997-08-31,0.022222
2,1997-09-30,0.066733
2,1997-10-31,-0.041083
2,1997-11-30,-0.042843
2,1997-12-31,0.058036
2,1998-01-31,-0.046296
2,1998-02-28,0.19849
2,1998-03-31,-0.017226
2,1998-04-30,-0.005535
2,1998-05-31,0.074212
2,1998-06-30,-0.070435
2,1998-07-31,0.08232
2,1998-08-31,-0.189283
2,1998-09-30,-0.055914
2,1998-10-31,0.151481
2,1998-11-30,0.113749
2,1998-12-31,0.02415
2,1999-01-31,0.254148
2,1999-02-28,-0.074513
2,1999-03-31,0.054353
2,1999-04-30,0.023707
2,1999-05-31,-0.071253
2,1999-06-30,-0.043478
2,1999-07-31,-0.073864
2,1999-08-31,0.092025
2,1999-09-30,-0.05
2,1999-10-31,0.119166
2,1999-11-30,0.029281
2,1999-12-31,0.009549
2,2000-01-31,0.108341
2,2000-02-29,-0.049651
2,2000-03-31,0.088743
2,2000-04-30,0.130566
2,2000-05-31,-0.24032
2,2000-06-30,-0.177876
2,2000-07-31,-0.019376
2,2000-08-31,0.276619
2,2000-09-30,-0.099567
2,2000-10-31,-0.044231
2,2000-11-30,-0.195171
2,2000-12-31,0.02904
2,2001-01-31,0.054233
2,2001-02-28,0.002235
2,2001-03-31,-0.027569
2,2001-04-30,0.057088
2,2001-05-31,0.047254
2,2001-06-30,0.130931
2,2001-07-31,-0.011655
2,2001-08-31,-0.131289
2,2001-09-30,-0.216438
2,2001-10-31,-0.03683
2,2001-11-30,0.214908
2,2001-12-31,-0.022133
2,2002-01-31,0.052263
2,2002-02-28,0.045757
2,2002-03-31,0.140997
2,2002-04-30,0.061208
2,2002-05-31,-0.023383
2,2002-06-30,-0.139984
2,2002-07-31,-0.129093
2,2002-08-31,0.038883
2,2002-09-30,-0.187213
2,2002-10-31,-0.145244
2,2002-11-30,0.209023
2,2002-12-31,-0.071537
2,2003-01-31,-0.014379
2,2003-02-28,-0.056702
2,2003-03-31,-0.004442
2,2003-04-30,0.072278
2,2003-05-31,-0.006103
